Título,Autor,Ano de publicação,Número de páginas
Harry Potter e a Ordem da Fênix,JK Rowling,2003,702
Sherlock Holmes um Estudo em Vermelho,Árthur Conan Doyle,1887,152
O Senhor dos Anéis,J. R. R. Tolkien,1954,1178
Harry Potter e a Pedra Filosofal,J. K. Rowling,1997,223
Dom Quixote,Miguel de Cervantes,1605,863
Percy Jackson e o Ladrão de Raios,Rick Riordan,2005,400
Duna,Frank Herbert,1965,896
Jogos Vorazes,Suzanne Collins,2008,374
A Culpa é das Estrelas,John Green,2012,313
O Código Da Vinci,Dan Brown,2003,480
